"year","zone","school","ratio"
"2009-2010","S01001790","Secondary","91.53"
"2004-2005","S01001790","Secondary","92.41"
"2005-2006","S01001790","Secondary","92.41"
"2008-2009","S01001790","Secondary","94.56"
"2006-2007","S01001790","Secondary","96.75"
"2010-2011","S01001790","Secondary","94.87"
"2007-2008","S01001790","Secondary","95.8"
"2003-2004","S01001790","Secondary","96.43"
"2010-2011","S01001790","Primary","97.53"
"2008-2009","S01001790","Primary","96.94"
"2009-2010","S01001790","Primary","96.1"
"2003-2004","S01001790","Primary","98.7"
"2004-2005","S01001790","Primary","97.84"
"2005-2006","S01001790","Primary","97.84"
"2006-2007","S01001790","Primary","97.5"
"2007-2008","S01001790","Primary","95.95"
"2009-2010","S01001791","Secondary","95.97"
"2004-2005","S01001791","Secondary","94.87"
"2005-2006","S01001791","Secondary","94.87"
"2008-2009","S01001791","Secondary","94.42"
"2006-2007","S01001791","Secondary","95.32"
"2010-2011","S01001791","Secondary","96.36"
"2007-2008","S01001791","Secondary","95.67"
"2003-2004","S01001791","Secondary","94.5"
"2010-2011","S01001791","Primary","96.09"
"2008-2009","S01001791","Primary","96.84"
"2009-2010","S01001791","Primary","95.88"
"2003-2004","S01001791","Primary","98.12"
"2004-2005","S01001791","Primary","97.15"
"2005-2006","S01001791","Primary","97.15"
"2006-2007","S01001791","Primary","97.42"
"2007-2008","S01001791","Primary","97.14"
"2009-2010","S01001792","Secondary","95.2"
"2004-2005","S01001792","Secondary","92.35"
"2005-2006","S01001792","Secondary","92.35"
"2008-2009","S01001792","Secondary","94.82"
"2006-2007","S01001792","Secondary","94.66"
"2010-2011","S01001792","Secondary","95.85"
"2007-2008","S01001792","Secondary","95.92"
"2003-2004","S01001792","Secondary","92.57"
"2010-2011","S01001792","Primary","97.48"
"2008-2009","S01001792","Primary","98.07"
"2009-2010","S01001792","Primary","96.04"
"2003-2004","S01001792","Primary","97.55"
"2004-2005","S01001792","Primary","97.27"
"2005-2006","S01001792","Primary","97.27"
"2006-2007","S01001792","Primary","98.36"
"2007-2008","S01001792","Primary","97.67"
"2009-2010","S01001793","Secondary","92.65"
"2004-2005","S01001793","Secondary","93.56"
"2005-2006","S01001793","Secondary","93.56"
"2008-2009","S01001793","Secondary","93.34"
"2006-2007","S01001793","Secondary","94.65"
"2010-2011","S01001793","Secondary","94.8"
"2007-2008","S01001793","Secondary","92.98"
"2003-2004","S01001793","Secondary","93.22"
"2010-2011","S01001793","Primary","97.64"
"2008-2009","S01001793","Primary","98.08"
"2009-2010","S01001793","Primary","96.69"
"2003-2004","S01001793","Primary","96.43"
"2004-2005","S01001793","Primary","96.28"
"2005-2006","S01001793","Primary","96.28"
"2006-2007","S01001793","Primary","97.33"
"2007-2008","S01001793","Primary","97.46"
"2009-2010","S01001794","Secondary","95.5"
"2004-2005","S01001794","Secondary","94.11"
"2005-2006","S01001794","Secondary","94.11"
"2008-2009","S01001794","Secondary","94.68"
"2006-2007","S01001794","Secondary","94.85"
"2010-2011","S01001794","Secondary","94.79"
"2007-2008","S01001794","Secondary","95.73"
"2003-2004","S01001794","Secondary","92.94"
"2010-2011","S01001794","Primary","96.6"
"2008-2009","S01001794","Primary","97.09"
"2009-2010","S01001794","Primary","96.84"
"2003-2004","S01001794","Primary","96.66"
"2004-2005","S01001794","Primary","97.07"
"2005-2006","S01001794","Primary","97.07"
"2006-2007","S01001794","Primary","97.61"
"2007-2008","S01001794","Primary","97.4"
"2009-2010","S01001795","Secondary","93.84"
"2004-2005","S01001795","Secondary","94.32"
"2005-2006","S01001795","Secondary","94.32"
"2008-2009","S01001795","Secondary","95.55"
"2006-2007","S01001795","Secondary","95.15"
"2010-2011","S01001795","Secondary","93.98"
"2007-2008","S01001795","Secondary","95.26"
"2003-2004","S01001795","Secondary","93.35"
"2010-2011","S01001795","Primary","97.45"
"2008-2009","S01001795","Primary","97.76"
"2009-2010","S01001795","Primary","96.31"
"2003-2004","S01001795","Primary","96.49"
"2004-2005","S01001795","Primary","96.72"
"2005-2006","S01001795","Primary","96.72"
"2006-2007","S01001795","Primary","97.32"
"2007-2008","S01001795","Primary","96.97"
"2009-2010","S01001796","Secondary","94.72"
"2004-2005","S01001796","Secondary","96.22"
"2005-2006","S01001796","Secondary","96.22"
"2008-2009","S01001796","Secondary","94.61"
"2006-2007","S01001796","Secondary","96.04"
"2010-2011","S01001796","Secondary","95.93"
"2007-2008","S01001796","Secondary","95.79"
"2003-2004","S01001796","Secondary","95.44"
"2010-2011","S01001796","Primary","95.33"
"2008-2009","S01001796","Primary","97.25"
"2009-2010","S01001796","Primary","96.73"
"2003-2004","S01001796","Primary","97.79"
"2004-2005","S01001796","Primary","97.46"
"2005-2006","S01001796","Primary","97.46"
"2006-2007","S01001796","Primary","98.12"
"2007-2008","S01001796","Primary","97.42"
"2009-2010","S01001797","Secondary","90.3"
"2004-2005","S01001797","Secondary","93.44"
"2005-2006","S01001797","Secondary","93.44"
"2008-2009","S01001797","Secondary","89.01"
"2006-2007","S01001797","Secondary","91.45"
"2010-2011","S01001797","Secondary","90.85"
"2007-2008","S01001797","Secondary","88.16"
"2003-2004","S01001797","Secondary","93.81"
"2010-2011","S01001797","Primary","95.63"
"2008-2009","S01001797","Primary","96.86"
"2009-2010","S01001797","Primary","95.36"
"2003-2004","S01001797","Primary","95.69"
"2004-2005","S01001797","Primary","95.91"
"2005-2006","S01001797","Primary","95.91"
"2006-2007","S01001797","Primary","94.55"
"2007-2008","S01001797","Primary","95.72"
"2009-2010","S01001798","Secondary","96.46"
"2004-2005","S01001798","Secondary","96.14"
"2005-2006","S01001798","Secondary","96.14"
"2008-2009","S01001798","Secondary","96.52"
"2006-2007","S01001798","Secondary","97.69"
"2010-2011","S01001798","Secondary","95.99"
"2007-2008","S01001798","Secondary","96.31"
"2003-2004","S01001798","Secondary","94.64"
"2010-2011","S01001798","Primary","97.74"
"2008-2009","S01001798","Primary","98.42"
"2009-2010","S01001798","Primary","97.45"
"2003-2004","S01001798","Primary","97.17"
"2004-2005","S01001798","Primary","98.08"
"2005-2006","S01001798","Primary","98.08"
"2006-2007","S01001798","Primary","97.92"
"2007-2008","S01001798","Primary","98.14"
"2009-2010","S01001799","Secondary","85.63"
"2004-2005","S01001799","Secondary","83.17"
"2005-2006","S01001799","Secondary","83.17"
"2008-2009","S01001799","Secondary","83.62"
"2006-2007","S01001799","Secondary","84.02"
"2010-2011","S01001799","Secondary","84.99"
"2007-2008","S01001799","Secondary","84.56"
"2003-2004","S01001799","Secondary","82.23"
"2010-2011","S01001799","Primary","90.32"
"2008-2009","S01001799","Primary","92.12"
"2009-2010","S01001799","Primary","92.25"
"2003-2004","S01001799","Primary","91.73"
"2004-2005","S01001799","Primary","90.66"
"2005-2006","S01001799","Primary","90.66"
"2006-2007","S01001799","Primary","91.72"
"2007-2008","S01001799","Primary","92.56"
"2009-2010","S01001800","Secondary","93.07"
"2004-2005","S01001800","Secondary","94.92"
"2005-2006","S01001800","Secondary","94.92"
"2008-2009","S01001800","Secondary","93.41"
"2006-2007","S01001800","Secondary","93.93"
"2010-2011","S01001800","Secondary","92.28"
"2007-2008","S01001800","Secondary","93.4"
"2003-2004","S01001800","Secondary","94.87"
"2010-2011","S01001800","Primary","97.21"
"2008-2009","S01001800","Primary","96.82"
"2009-2010","S01001800","Primary","97.39"
"2003-2004","S01001800","Primary","96.95"
"2004-2005","S01001800","Primary","96.9"
"2005-2006","S01001800","Primary","96.9"
"2006-2007","S01001800","Primary","97.19"
"2007-2008","S01001800","Primary","96.77"
"2009-2010","S01001801","Secondary","95.88"
"2004-2005","S01001801","Secondary","95.7"
"2005-2006","S01001801","Secondary","95.7"
"2008-2009","S01001801","Secondary","96.19"
"2006-2007","S01001801","Secondary","95.27"
"2010-2011","S01001801","Secondary","96.72"
"2007-2008","S01001801","Secondary","95.52"
"2003-2004","S01001801","Secondary","95.44"
"2010-2011","S01001801","Primary","97.43"
"2008-2009","S01001801","Primary","97.66"
"2009-2010","S01001801","Primary","96.64"
"2003-2004","S01001801","Primary","97.87"
"2004-2005","S01001801","Primary","97.36"
"2005-2006","S01001801","Primary","97.36"
"2006-2007","S01001801","Primary","98.17"
"2007-2008","S01001801","Primary","97.59"
"2009-2010","S01001802","Secondary","91.92"
"2004-2005","S01001802","Secondary","91.26"
"2005-2006","S01001802","Secondary","91.26"
"2008-2009","S01001802","Secondary","93.18"
"2006-2007","S01001802","Secondary","92.42"
"2010-2011","S01001802","Secondary","92.55"
"2007-2008","S01001802","Secondary","93.92"
"2003-2004","S01001802","Secondary","93.41"
"2010-2011","S01001802","Primary","94.45"
"2008-2009","S01001802","Primary","94.75"
"2009-2010","S01001802","Primary","94.36"
"2003-2004","S01001802","Primary","95.65"
"2004-2005","S01001802","Primary","95.24"
"2005-2006","S01001802","Primary","95.24"
"2006-2007","S01001802","Primary","93.95"
"2007-2008","S01001802","Primary","94.52"
"2009-2010","S01001803","Secondary","93.62"
"2004-2005","S01001803","Secondary","91.06"
"2005-2006","S01001803","Secondary","91.06"
"2008-2009","S01001803","Secondary","95.05"
"2006-2007","S01001803","Secondary","93.1"
"2010-2011","S01001803","Secondary","91.51"
"2007-2008","S01001803","Secondary","94.1"
"2003-2004","S01001803","Secondary","91.44"
"2010-2011","S01001803","Primary","93.38"
"2008-2009","S01001803","Primary","95.21"
"2009-2010","S01001803","Primary","93.5"
"2003-2004","S01001803","Primary","94.49"
"2004-2005","S01001803","Primary","95.06"
"2005-2006","S01001803","Primary","95.06"
"2006-2007","S01001803","Primary","94.37"
"2007-2008","S01001803","Primary","94.45"
"2009-2010","S01001804","Secondary","91.36"
"2004-2005","S01001804","Secondary","90.95"
"2005-2006","S01001804","Secondary","90.95"
"2008-2009","S01001804","Secondary","92.92"
"2006-2007","S01001804","Secondary","93.81"
"2010-2011","S01001804","Secondary","92.49"
"2007-2008","S01001804","Secondary","92.64"
"2003-2004","S01001804","Secondary","91.92"
"2010-2011","S01001804","Primary","95.63"
"2008-2009","S01001804","Primary","95.24"
"2009-2010","S01001804","Primary","95.39"
"2003-2004","S01001804","Primary","95.23"
"2004-2005","S01001804","Primary","93.37"
"2005-2006","S01001804","Primary","93.37"
"2006-2007","S01001804","Primary","95.78"
"2007-2008","S01001804","Primary","95.21"
"2009-2010","S01001805","Secondary","93.56"
"2004-2005","S01001805","Secondary","93.27"
"2005-2006","S01001805","Secondary","93.27"
"2008-2009","S01001805","Secondary","91.64"
"2006-2007","S01001805","Secondary","94.05"
"2010-2011","S01001805","Secondary","93.98"
"2007-2008","S01001805","Secondary","89.76"
"2003-2004","S01001805","Secondary","93.75"
"2010-2011","S01001805","Primary","94.98"
"2008-2009","S01001805","Primary","97.59"
"2009-2010","S01001805","Primary","96.45"
"2003-2004","S01001805","Primary","96.17"
"2004-2005","S01001805","Primary","96.25"
"2005-2006","S01001805","Primary","96.25"
"2006-2007","S01001805","Primary","96.42"
"2007-2008","S01001805","Primary","96.55"
"2009-2010","S01001806","Secondary","95.77"
"2004-2005","S01001806","Secondary","96.28"
"2005-2006","S01001806","Secondary","96.28"
"2008-2009","S01001806","Secondary","95.8"
"2006-2007","S01001806","Secondary","95.39"
"2010-2011","S01001806","Secondary","93.75"
"2007-2008","S01001806","Secondary","94.81"
"2003-2004","S01001806","Secondary","95.48"
"2010-2011","S01001806","Primary","96.42"
"2008-2009","S01001806","Primary","97.51"
"2009-2010","S01001806","Primary","96.19"
"2003-2004","S01001806","Primary","98.12"
"2004-2005","S01001806","Primary","97.14"
"2005-2006","S01001806","Primary","97.14"
"2006-2007","S01001806","Primary","96.79"
"2007-2008","S01001806","Primary","96.96"
"2009-2010","S01001807","Secondary","93.34"
"2004-2005","S01001807","Secondary","93.42"
"2005-2006","S01001807","Secondary","93.42"
"2008-2009","S01001807","Secondary","93.56"
"2006-2007","S01001807","Secondary","94.99"
"2010-2011","S01001807","Secondary","94.61"
"2007-2008","S01001807","Secondary","91.67"
"2003-2004","S01001807","Secondary","93.41"
"2010-2011","S01001807","Primary","97.18"
"2008-2009","S01001807","Primary","97.63"
"2009-2010","S01001807","Primary","97.03"
"2003-2004","S01001807","Primary","97.38"
"2004-2005","S01001807","Primary","97.46"
"2005-2006","S01001807","Primary","97.46"
"2006-2007","S01001807","Primary","96.23"
"2007-2008","S01001807","Primary","97.28"
"2009-2010","S01001808","Secondary","85.89"
"2004-2005","S01001808","Secondary","84.02"
"2005-2006","S01001808","Secondary","84.02"
"2008-2009","S01001808","Secondary","87.72"
"2006-2007","S01001808","Secondary","83.34"
"2010-2011","S01001808","Secondary","88.07"
"2007-2008","S01001808","Secondary","81.23"
"2003-2004","S01001808","Secondary","85.4"
"2010-2011","S01001808","Primary","91.34"
